iter	Passed	Remaining
0	53	266982
1	125	314101
2	185	309713
3	234	293264
4	304	303979
5	365	303850
6	436	311276
7	512	319729
8	562	311867
9	625	312236
10	689	312735
11	752	312912
12	822	315434
13	885	315537
14	944	313964
15	1005	313069
16	1066	312546
17	1124	311303
18	1184	310470
19	1242	309424
20	1278	303097
21	1337	302566
22	1393	301447
23	1452	301091
24	1511	300738
25	1573	301097
26	1637	301590
27	1732	307703
28	1793	307400
29	1851	306777
30	1911	306339
31	1972	306264
32	2032	305927
33	2094	305871
34	2155	305796
35	2216	305641
36	2275	305249
37	2332	304607
38	2389	303978
39	2446	303426
40	2508	303376
41	2566	302999
42	2627	302952
43	2699	304115
44	2760	303942
45	2819	303665
46	2878	303307
47	2938	303106
48	2996	302786
49	3057	302671
50	3120	302817
51	3182	302830
52	3245	302907
53	3312	303421
54	3388	304669
55	3452	304791
56	3509	304322
57	3571	304336
58	3644	305249
59	3707	305289
60	3767	305069
61	3825	304662
62	3884	304421
63	3948	304560
64	4012	304663
65	4074	304577
66	4133	304362
67	4193	304136
68	4251	303805
69	4310	303550
70	4372	303532
71	4437	303749
72	4504	303998
73	4568	304093
74	4634	304322
75	4700	304532
76	4765	304677
77	4827	304638
78	4893	304800
79	4961	305136
80	5028	305383
81	5097	305718
82	5164	305977
83	5233	306266
84	5294	306127
85	5357	306126
86	5394	304660
87	5453	304402
88	5513	304212
89	5574	304125
90	5633	303909
91	5691	303638
92	5749	303380
93	5807	303124
94	5865	302854
95	5934	303151
96	5996	303090
97	6059	303082
98	6121	303045
99	6184	303054
100	6248	303067
101	6311	303096
102	6374	303056
103	6434	302928
104	6495	302798
105	6559	302844
106	6623	302876
107	6685	302843
108	6748	302809
109	6808	302647
110	6869	302561
111	6945	303108
112	7011	303212
113	7073	303187
114	7136	303130
115	7206	303437
116	7269	303395
117	7329	303246
118	7390	303138
119	7450	302996
120	7511	302870
121	7549	301846
122	7606	301618
123	7668	301535
124	7730	301475
125	7792	301431
126	7854	301365
127	7933	301981
128	7993	301836
129	8056	301816
130	8124	301972
131	8191	302085
132	8284	303155
133	8317	302043
134	8372	301726
135	8434	301649
136	8492	301442
137	8519	300166
138	8576	299939
139	8603	298668
140	8659	298431
141	8722	298423
142	8780	298218
143	8808	297028
144	8868	296942
145	8935	297075
146	8995	296989
147	9057	296926
148	9121	296982
149	9181	296860
150	9209	295736
151	9265	295522
152	9323	295375
153	9382	295256
154	9439	295070
155	9502	295074
156	9561	294959
157	9621	294863
158	9688	294970
159	9752	295021
160	9813	294962
161	9875	294919
162	9941	294999
163	10010	295193
164	10094	295800
165	10161	295918
166	10224	295898
167	10289	295931
168	10385	296882
169	10469	297456
170	10543	297749
171	10610	297835
172	10678	297950
173	10706	296956
174	10732	295915
175	10791	295792
176	10868	296144
177	10934	296227
178	11001	296313
179	11096	297146
180	11178	297609
181	11248	297779
182	11317	297900
183	11392	298192
184	11465	298406
185	11529	298406
186	11595	298434
187	11669	298682
188	11730	298608
189	11779	298205
190	11840	298125
191	11882	297564
192	11948	297591
193	12011	297566
194	12082	297723
195	12156	297951
196	12224	298030
197	12294	298180
198	12359	298169
199	12420	298097
200	12479	297963
201	12548	298061
202	12610	297989
203	12672	297927
204	12740	297996
205	12818	298304
206	12879	298210
207	12942	298185
208	13006	298157
209	13078	298317
210	13161	298721
211	13227	298739
212	13291	298719
213	13353	298638
214	13413	298527
215	13493	298850
216	13560	298891
217	13627	298922
218	13692	298924
219	13758	298940
220	13826	298979
221	13889	298933
222	13951	298856
223	14011	298734
224	14072	298642
225	14133	298552
226	14195	298485
227	14257	298412
228	14320	298362
229	14378	298207
230	14440	298125
231	14499	297980
232	14559	297882
233	14629	297965
234	14713	298334
235	14790	298568
236	14857	298584
237	14923	298596
238	14992	298650
239	15061	298727
240	15132	298812
241	15198	298812
242	15276	299047
243	15343	299073
244	15406	299003
245	15469	298959
246	15547	299188
247	15607	299064
248	15671	299014
249	15756	299374
250	15859	300067
251	15930	300149
252	15992	300068
253	16064	300162
254	16133	300202
255	16203	300265
256	16274	300341
257	16339	300315
258	16410	300398
259	16494	300711
260	16563	300740
261	16629	300722
262	16699	300777
263	16799	301377
264	16878	301584
265	16940	301497
266	17002	301387
267	17080	301581
268	17201	302528
269	17270	302549
270	17336	302533
271	17404	302532
272	17466	302439
273	17538	302505
274	17635	303018
275	17717	303248
276	17785	303256
277	17851	303213
278	17922	303276
279	17989	303250
280	18060	303307
281	18122	303194
282	18187	303150
283	18251	303076
284	18311	302944
285	18390	303121
286	18451	303000
287	18513	302908
288	18583	302924
289	18662	303099
290	18742	303293
291	18804	303189
292	18874	303212
293	18935	303101
294	19001	303054
295	19063	302949
296	19128	302897
297	19191	302816
298	19251	302687
299	19331	302853
300	19395	302789
301	19474	302949
302	19564	303286
303	19627	303191
304	19688	303071
305	19780	303428
306	19850	303451
307	19913	303361
308	19973	303218
309	20036	303127
310	20119	303338
311	20183	303262
312	20246	303183
313	20310	303100
314	20370	302965
315	20439	302966
316	20502	302875
317	20583	303053
318	20656	303112
319	20729	303171
320	20797	303152
321	20865	303140
322	20927	303030
323	20989	302920
324	21050	302798
325	21109	302659
326	21169	302529
327	21233	302451
328	21298	302390
329	21361	302293
330	21421	302171
331	21484	302079
332	21546	301973
333	21618	302012
334	21687	302001
335	21753	301961
336	21818	301902
337	21884	301856
338	21955	301869
339	22020	301803
340	22082	301704
341	22142	301578
342	22200	301421
343	22257	301259
344	22321	301173
345	22382	301068
346	22450	301037
347	22532	301211
348	22601	301207
349	22669	301183
350	22750	301324
351	22815	301263
352	22886	301285
353	22948	301179
354	23009	301072
355	23085	301143
356	23152	301117
357	23223	301122
358	23286	301032
359	23348	300941
360	23418	300942
361	23486	300918
362	23561	300975
363	23633	300997
364	23694	300892
365	23756	300779
366	23816	300655
367	23877	300539
368	23944	300502
369	24005	300392
370	24069	300313
371	24130	300206
372	24194	300126
373	24277	300292
374	24341	300217
375	24401	300083
376	24465	300010
377	24527	299907
378	24588	299794
379	24661	299832
380	24748	300034
381	24819	300038
382	24880	299926
383	24943	299843
384	25006	299752
385	25076	299750
386	25141	299690
387	25205	299602
388	25268	299518
389	25334	299464
390	25402	299433
391	25462	299315
392	25525	299225
393	25586	299111
394	25653	299076
395	25735	299203
396	25807	299227
397	25869	299129
398	25935	299073
399	26005	299066
400	26076	299065
401	26139	298983
402	26203	298907
403	26266	298814
404	26359	299065
405	26502	299879
406	26582	299983
407	26666	300123
408	26769	300489
409	26839	300475
410	26919	300564
411	26992	300588
412	27064	300587
413	27133	300565
414	27207	300591
415	27277	300580
416	27344	300528
417	27407	300432
418	27474	300382
419	27539	300308
420	27598	300175
421	27662	300094
422	27725	300000
423	27790	299923
424	27851	299814
425	27913	299711
426	27974	299592
427	28038	299517
428	28101	299420
429	28161	299302
430	28224	299203
431	28285	299089
432	28346	298978
433	28406	298857
434	28465	298723
435	28525	298606
436	28589	298526
437	28653	298440
438	28714	298334
439	28777	298242
440	28840	298145
441	28902	298046
442	28961	297919
443	29022	297807
444	29084	297708
445	29146	297609
446	29207	297502
447	29269	297403
448	29332	297313
449	29397	297241
450	29465	297200
451	29537	297205
452	29625	297368
453	29714	297540
454	29779	297470
455	29847	297424
456	29916	297399
457	29979	297306
458	30044	297240
459	30114	297217
460	30178	297138
461	30257	297205
462	30321	297127
463	30381	297008
464	30440	296878
465	30502	296777
466	30560	296643
467	30622	296542
468	30685	296452
469	30756	296437
470	30823	296390
471	30887	296314
472	30951	296227
473	31011	296115
474	31075	296034
475	31143	295997
476	31202	295867
477	31267	295800
478	31358	295979
479	31422	295897
480	31486	295812
481	31553	295768
482	31615	295671
483	31679	295592
484	31746	295538
485	31810	295460
486	31870	295338
487	31931	295233
488	31992	295131
489	32053	295019
490	32111	294887
491	32171	294777
492	32234	294687
493	32295	294586
494	32355	294471
495	32422	294414
496	32485	294333
497	32548	294246
498	32610	294150
499	32697	294279
500	32758	294170
501	32821	294086
502	32884	293997
503	32954	293977
504	33044	294129
505	33117	294130
506	33207	294281
507	33298	294444
508	33368	294418
509	33433	294344
510	33493	294234
511	33594	294478
512	33672	294518
513	33740	294475
514	33801	294365
515	33863	294271
516	33926	294180
517	33998	294168
518	34086	294303
519	34162	294321
520	34230	294278
521	34288	294145
522	34359	294129
523	34427	294075
524	34489	293981
525	34552	293894
526	34619	293834
527	34688	293797
528	34748	293683
529	34805	293551
530	34864	293422
531	34943	293473
532	35014	293454
533	35079	293377
534	35141	293281
535	35205	293203
536	35269	293123
537	35342	293121
538	35407	293045
539	35470	292956
540	35529	292841
541	35591	292741
542	35654	292658
543	35721	292599
544	35791	292570
545	35857	292504
546	35933	292525
547	36007	292531
548	36078	292503
549	36147	292466
550	36210	292377
551	36278	292332
552	36359	292386
553	36424	292315
554	36490	292248
555	36553	292164
556	36630	292185
557	36691	292085
558	36757	292023
559	36823	291955
560	36885	291859
561	36947	291762
562	37012	291693
563	37084	291677
564	37149	291606
565	37223	291606
566	37321	291794
567	37397	291808
568	37472	291809
569	37539	291751
570	37607	291707
571	37672	291634
572	37745	291620
573	37809	291541
574	37870	291435
575	37933	291346
576	38012	291383
577	38079	291328
578	38164	291408
579	38231	291351
580	38296	291279
581	38368	291261
582	38474	291495
583	38560	291583
584	38643	291641
585	38711	291588
586	38777	291523
587	38844	291466
588	38908	291381
589	38979	291356
590	39046	291296
591	39127	291341
592	39194	291280
593	39269	291284
594	39344	291281
595	39416	291260
596	39491	291255
597	39572	291299
598	39661	291404
599	39742	291448
600	39826	291511
601	39894	291456
602	39984	291565
603	40068	291625
604	40143	291619
605	40210	291561
606	40279	291508
607	40348	291464
608	40419	291433
609	40487	291376
610	40554	291318
611	40631	291325
612	40698	291266
613	40767	291217
614	40835	291162
615	40885	290977
616	40958	290961
617	41034	290959
618	41109	290957
619	41178	290904
620	41249	290870
621	41322	290854
622	41406	290910
623	41472	290842
624	41546	290822
625	41619	290804
626	41703	290857
627	41778	290852
628	41861	290899
629	41928	290838
630	42000	290811
631	42077	290814
632	42157	290838
633	42231	290825
634	42295	290741
635	42369	290726
636	42430	290620
637	42501	290579
638	42565	290501
639	42638	290471
640	42710	290444
641	42777	290377
642	42860	290423
643	42951	290524
644	43022	290483
645	43104	290523
646	43174	290476
647	43239	290401
648	43318	290414
649	43381	290323
650	43448	290259
651	43519	290221
652	43591	290190
653	43676	290244
654	43744	290182
655	43805	290077
656	43881	290072
657	43947	289998
658	44018	289958
659	44090	289927
660	44191	290085
661	44265	290068
662	44333	290005
663	44398	289926
664	44464	289856
665	44533	289799
666	44608	289790
667	44692	289829
668	44761	289778
669	44830	289725
670	44901	289683
671	44965	289601
672	45035	289554
673	45115	289568
674	45182	289503
675	45242	289393
676	45321	289402
677	45385	289315
